oportunidad_id,lead_id,fecha_oportunidad,estado_oportunidad,producto_ofertado,monto_estimado
143,348,2025-06-27,Abierta,Tarjeta de crédito,8598.95
144,349,2025-04-29,Abierta,Cuenta sueldo,6215.2
145,350,2025-05-25,Perdida,Tarjeta de crédito,4270.5
146,351,2025-06-04,Ganada,Cuenta sueldo,1646.1
147,353,2025-05-29,Ganada,Tarjeta de crédito,8155.5
148,359,2025-06-15,Perdida,Tarjeta de crédito,830.69
149,362,2025-05-12,Ganada,Préstamo personal,9143.0
150,364,2025-05-14,Abierta,Tarjeta de crédito,4669.04
151,365,2025-05-29,Ganada,Préstamo personal,1260.9
152,366,2025-04-17,Perdida,Tarjeta de crédito,8331.81
153,368,2025-04-14,Ganada,Tarjeta de crédito,2245.53
154,371,2025-06-04,Ganada,Cuenta sueldo,6667.22
155,373,2025-04-15,Perdida,Tarjeta de crédito,8095.52
156,376,2025-05-27,Perdida,Préstamo personal,9754.21
157,387,2025-05-17,Ganada,Tarjeta de crédito,598.04
158,388,2025-06-27,Ganada,Préstamo personal,7492.99
159,391,2025-05-04,Ganada,Cuenta sueldo,9786.48
160,396,2025-06-07,Perdida,Tarjeta de crédito,3187.79
161,397,2025-04-26,Ganada,Préstamo personal,2067.35
162,400,2025-04-15,Ganada,Tarjeta de crédito,9954.42
163,404,2025-04-08,Ganada,Préstamo personal,6799.81
164,406,2025-06-27,Perdida,Cuenta sueldo,746.64
165,407,2025-05-24,Perdida,Tarjeta de crédito,8451.28
166,409,2025-06-20,Abierta,Tarjeta de crédito,9712.82
167,412,2025-04-08,Ganada,Préstamo personal,1379.23
168,413,2025-05-23,Abierta,Cuenta sueldo,7905.18
169,416,2025-06-08,Ganada,Tarjeta de crédito,5151.42
170,417,2025-04-22,Ganada,Cuenta sueldo,4624.01
171,418,2025-06-10,Ganada,Tarjeta de crédito,9341.34
172,424,2025-05-26,Ganada,Préstamo personal,6062.89
173,425,2025-05-30,Abierta,Cuenta sueldo,4454.39
174,426,2025-05-19,Ganada,Tarjeta de crédito,4774.51
175,431,2025-06-27,Ganada,Préstamo personal,8224.76
176,433,2025-04-19,Ganada,Cuenta sueldo,2288.1
177,435,2025-06-06,Abierta,Cuenta sueldo,4507.85
178,436,2025-05-04,Ganada,Cuenta sueldo,5107.94
179,437,2025-04-27,Perdida,Cuenta sueldo,983.76
180,439,2025-04-28,Ganada,Préstamo personal,3262.36
181,440,2025-04-12,Ganada,Cuenta sueldo,3500.58
182,447,2025-05-06,Ganada,Tarjeta de crédito,7617.92
183,448,2025-04-03,Abierta,Cuenta sueldo,4451.85
184,450,2025-06-25,Ganada,Cuenta sueldo,2006.75
185,453,2025-05-29,Ganada,Tarjeta de crédito,5791.71
186,456,2025-06-24,Abierta,Préstamo personal,1621.56
187,457,2025-04-20,Ganada,Tarjeta de crédito,7738.66
188,460,2025-05-08,Ganada,Cuenta sueldo,3224.2
189,464,2025-04-05,Ganada,Tarjeta de crédito,782.75
190,469,2025-05-25,Ganada,Tarjeta de crédito,3480.1
191,471,2025-04-19,Ganada,Tarjeta de crédito,6372.78
192,473,2025-05-27,Ganada,Tarjeta de crédito,2530.48
193,475,2025-04-20,Perdida,Cuenta sueldo,1549.2
194,476,2025-05-02,Ganada,Tarjeta de crédito,953.46
195,477,2025-05-12,Ganada,Tarjeta de crédito,9838.03
196,479,2025-06-08,Ganada,Préstamo personal,3614.55
197,485,2025-04-15,Ganada,Tarjeta de crédito,2047.01
198,486,2025-05-17,Abierta,Cuenta sueldo,2520.1
199,488,2025-05-08,Abierta,Cuenta sueldo,4011.07
200,492,2025-04-01,Ganada,Cuenta sueldo,8281.69
201,496,2025-06-20,Ganada,Préstamo personal,1915.33
202,499,2025-05-13,Perdida,Préstamo personal,7218.48
203,500,2025-05-26,Abierta,Préstamo personal,9574.1
204,503,2025-06-21,Ganada,Cuenta sueldo,7203.37
205,507,2025-05-23,Ganada,Cuenta sueldo,2235.35
206,509,2025-06-10,Ganada,Cuenta sueldo,1438.07
207,512,2025-06-28,Ganada,Tarjeta de crédito,1593.27
208,514,2025-04-29,Ganada,Cuenta sueldo,1464.34
209,519,2025-06-23,Perdida,Cuenta sueldo,6396.93
210,522,2025-05-16,Ganada,Tarjeta de crédito,932.1
211,523,2025-04-09,Perdida,Cuenta sueldo,7388.2
212,524,2025-04-07,Perdida,Tarjeta de crédito,3523.89
213,526,2025-04-25,Ganada,Tarjeta de crédito,2500.93
214,527,2025-05-03,Abierta,Préstamo personal,591.0
215,528,2025-04-18,Ganada,Tarjeta de crédito,7743.42
216,529,2025-05-22,Perdida,Préstamo personal,4729.18
217,530,2025-06-25,Ganada,Tarjeta de crédito,2183.27
218,532,2025-04-24,Ganada,Cuenta sueldo,6965.27
219,533,2025-06-09,Ganada,Préstamo personal,9811.13
220,537,2025-06-15,Ganada,Préstamo personal,2167.52
221,540,2025-04-20,Ganada,Préstamo personal,8889.47
222,541,2025-04-01,Ganada,Tarjeta de crédito,1656.32
223,542,2025-04-16,Ganada,Préstamo personal,3140.36
224,548,2025-04-09,Perdida,Cuenta sueldo,8484.82
225,550,2025-05-12,Ganada,Cuenta sueldo,1192.65
226,551,2025-06-24,Abierta,Préstamo personal,1076.53
227,552,2025-05-11,Ganada,Tarjeta de crédito,7935.14
228,553,2025-05-09,Ganada,Cuenta sueldo,1467.36
229,555,2025-05-02,Ganada,Cuenta sueldo,4807.41
230,558,2025-04-07,Perdida,Préstamo personal,9091.51
231,562,2025-04-24,Ganada,Préstamo personal,3898.56
232,565,2025-04-26,Perdida,Cuenta sueldo,8657.67
233,568,2025-05-29,Ganada,Préstamo personal,5994.9
234,572,2025-04-30,Perdida,Cuenta sueldo,3649.39
235,578,2025-04-15,Ganada,Cuenta sueldo,3728.27
236,579,2025-06-23,Perdida,Cuenta sueldo,699.44
237,584,2025-05-18,Ganada,Cuenta sueldo,3520.54
238,585,2025-06-04,Perdida,Cuenta sueldo,3294.74
239,588,2025-06-02,Ganada,Cuenta sueldo,6341.42
240,590,2025-06-08,Ganada,Préstamo personal,9579.64
241,591,2025-05-29,Ganada,Préstamo personal,9001.4
242,595,2025-04-14,Ganada,Tarjeta de crédito,890.86
243,601,2025-04-21,Ganada,Tarjeta de crédito,6913.52
244,604,2025-05-27,Ganada,Tarjeta de crédito,612.96
245,606,2025-05-13,Ganada,Tarjeta de crédito,7697.4
246,607,2025-06-13,Ganada,Cuenta sueldo,9448.33
247,613,2025-06-21,Ganada,Tarjeta de crédito,6274.45
248,614,2025-05-23,Abierta,Tarjeta de crédito,1532.06
249,620,2025-06-06,Ganada,Cuenta sueldo,1991.84
250,623,2025-06-27,Ganada,Cuenta sueldo,2428.24
251,625,2025-05-12,Ganada,Cuenta sueldo,3624.47
252,628,2025-05-22,Perdida,Tarjeta de crédito,4443.0
253,632,2025-04-19,Ganada,Préstamo personal,2563.92
254,633,2025-04-09,Ganada,Tarjeta de crédito,7905.35
255,640,2025-06-08,Ganada,Cuenta sueldo,2183.75
256,641,2025-06-26,Abierta,Cuenta sueldo,3095.9
257,644,2025-06-29,Ganada,Préstamo personal,9021.59
258,648,2025-05-23,Ganada,Cuenta sueldo,1100.13
259,650,2025-05-16,Abierta,Tarjeta de crédito,2467.63
260,657,2025-06-25,Perdida,Cuenta sueldo,5907.45
261,662,2025-06-03,Abierta,Préstamo personal,701.53
262,663,2025-05-05,Ganada,Tarjeta de crédito,6387.78
