venta_id,oportunidad_id,cliente_id,producto_contratado,fecha_venta,monto_venta,canal_venta
44,77,1267,Cuenta sueldo,2025-05-25,619.23,App
45,79,248,Tarjeta de crédito,2025-06-15,3520.55,App
46,80,84,Cuenta sueldo,2025-04-04,8612.44,Call center
47,82,975,Préstamo personal,2025-06-04,8484.74,Web
48,83,1251,Cuenta sueldo,2025-06-06,9772.65,App
49,87,1387,Préstamo personal,2025-05-14,2578.41,App
50,88,965,Préstamo personal,2025-04-26,2640.49,App
51,90,1307,Tarjeta de crédito,2025-04-21,8725.18,App
52,92,671,Tarjeta de crédito,2025-06-03,2805.82,Call center
53,93,447,Cuenta sueldo,2025-05-12,4042.38,App
54,94,932,Cuenta sueldo,2025-05-26,726.63,Presencial
55,96,1430,Préstamo personal,2025-06-11,8335.18,Call center
56,97,1055,Préstamo personal,2025-06-15,10189.62,App
57,98,284,Préstamo personal,2025-04-17,8604.44,App
58,99,1440,Préstamo personal,2025-06-12,7202.81,App
59,100,112,Tarjeta de crédito,2025-04-14,4123.31,App
60,102,601,Tarjeta de crédito,2025-06-11,6351.3,App
61,104,315,Cuenta sueldo,2025-06-16,6367.63,Presencial
62,105,421,Cuenta sueldo,2025-05-06,4062.03,Web
63,108,694,Préstamo personal,2025-05-30,9612.14,Presencial
64,110,570,Préstamo personal,2025-04-04,8817.45,Web
65,112,869,Préstamo personal,2025-06-01,8526.69,Call center
66,115,281,Tarjeta de crédito,2025-04-15,7213.19,Presencial
67,117,894,Tarjeta de crédito,2025-06-23,5437.73,Presencial
68,119,194,Préstamo personal,2025-04-30,2285.11,Presencial
69,122,59,Préstamo personal,2025-05-27,7598.17,Call center
70,124,89,Préstamo personal,2025-04-08,8338.91,Web
71,126,672,Tarjeta de crédito,2025-06-01,884.67,App
72,127,910,Tarjeta de crédito,2025-05-03,9237.85,Call center
73,131,337,Cuenta sueldo,2025-05-01,8889.48,Web
74,132,975,Préstamo personal,2025-04-03,6009.91,Web
75,133,657,Préstamo personal,2025-05-25,8930.3,Call center
76,137,642,Préstamo personal,2025-05-11,6394.77,Web
77,138,39,Tarjeta de crédito,2025-05-30,5847.63,Call center
78,140,841,Cuenta sueldo,2025-06-27,8210.18,App
79,141,329,Préstamo personal,2025-04-23,3069.73,Web
80,142,894,Cuenta sueldo,2025-04-11,5031.42,App
81,146,1361,Cuenta sueldo,2025-06-04,1754.41,App
82,147,484,Tarjeta de crédito,2025-05-29,8865.84,Web
83,149,805,Préstamo personal,2025-05-12,9924.74,Web
84,151,1007,Préstamo personal,2025-05-29,1253.61,Presencial
85,153,909,Tarjeta de crédito,2025-04-14,2376.23,Presencial
86,154,267,Cuenta sueldo,2025-06-04,7129.87,App
87,157,273,Tarjeta de crédito,2025-05-17,642.47,App
88,158,525,Préstamo personal,2025-06-27,6853.17,Call center
89,159,1375,Cuenta sueldo,2025-05-04,9533.8,Web
90,161,1007,Préstamo personal,2025-04-26,2176.37,Presencial
91,162,1014,Tarjeta de crédito,2025-04-15,9040.19,Call center
92,163,435,Préstamo personal,2025-04-08,6913.43,App
93,167,523,Préstamo personal,2025-04-08,1290.41,Web
94,169,795,Tarjeta de crédito,2025-06-08,5127.15,App
95,170,873,Cuenta sueldo,2025-04-22,4247.57,Call center
96,171,1080,Tarjeta de crédito,2025-06-10,9583.39,Presencial
97,172,1032,Préstamo personal,2025-05-26,5476.33,Call center
98,174,543,Tarjeta de crédito,2025-05-19,4623.0,Presencial
99,175,1264,Préstamo personal,2025-06-27,7995.67,Call center
100,176,55,Cuenta sueldo,2025-04-19,2155.04,Web
101,178,41,Cuenta sueldo,2025-05-04,5475.5,Web
102,180,999,Préstamo personal,2025-04-28,3196.9,Call center
103,181,131,Cuenta sueldo,2025-04-12,3338.05,Call center
104,182,1367,Tarjeta de crédito,2025-05-06,7591.85,Presencial
105,184,1032,Cuenta sueldo,2025-06-25,1818.91,Web
106,185,310,Tarjeta de crédito,2025-05-29,6201.08,Presencial
107,187,1021,Tarjeta de crédito,2025-04-20,8098.59,App
108,188,351,Cuenta sueldo,2025-05-08,2956.74,Call center
109,189,299,Tarjeta de crédito,2025-04-05,825.04,Call center
110,190,705,Tarjeta de crédito,2025-05-25,3137.59,Call center
111,191,906,Tarjeta de crédito,2025-04-19,6624.47,Call center
112,192,1048,Tarjeta de crédito,2025-05-27,2556.69,Presencial
113,194,1334,Tarjeta de crédito,2025-05-02,1037.62,Web
114,195,1192,Tarjeta de crédito,2025-05-12,9967.1,Call center
115,196,1193,Préstamo personal,2025-06-08,3392.3,App
116,197,1036,Tarjeta de crédito,2025-04-15,1894.35,Call center
117,200,1002,Cuenta sueldo,2025-04-01,7456.98,Call center
118,201,1491,Préstamo personal,2025-06-20,1848.38,App
119,204,1187,Cuenta sueldo,2025-06-21,7123.02,App
120,205,184,Cuenta sueldo,2025-05-23,2080.77,Web
121,206,292,Cuenta sueldo,2025-06-10,1413.0,Presencial
122,207,125,Tarjeta de crédito,2025-06-28,1535.38,App
123,208,1137,Cuenta sueldo,2025-04-29,1508.72,App
124,210,1094,Tarjeta de crédito,2025-05-16,943.86,Call center
125,213,1228,Tarjeta de crédito,2025-04-25,2415.13,Call center
126,215,1103,Tarjeta de crédito,2025-04-18,7094.75,App
127,217,1428,Tarjeta de crédito,2025-06-25,2394.52,Web
128,218,1453,Cuenta sueldo,2025-04-24,6767.21,Call center
129,219,744,Préstamo personal,2025-06-09,8902.22,Web
130,220,1205,Préstamo personal,2025-06-15,2006.36,App
131,221,5,Préstamo personal,2025-04-20,9667.99,Web
132,222,1062,Tarjeta de crédito,2025-04-01,1645.25,Web
133,223,861,Préstamo personal,2025-04-16,3160.72,Presencial
134,225,1229,Cuenta sueldo,2025-05-12,1221.17,Presencial
135,227,127,Tarjeta de crédito,2025-05-11,8600.29,Web
136,228,115,Cuenta sueldo,2025-05-09,1484.75,Call center
137,229,951,Cuenta sueldo,2025-05-02,5091.21,Call center
138,231,1196,Préstamo personal,2025-04-24,4198.92,Presencial
139,233,688,Préstamo personal,2025-05-29,6134.11,Call center
140,235,1136,Cuenta sueldo,2025-04-15,3538.85,Presencial
141,237,880,Cuenta sueldo,2025-05-18,3856.39,App
142,239,343,Cuenta sueldo,2025-06-02,6352.34,Call center
143,240,971,Préstamo personal,2025-06-08,9135.79,Presencial
144,241,926,Préstamo personal,2025-05-29,9655.2,Call center
145,242,1050,Tarjeta de crédito,2025-04-14,912.44,Web
146,243,513,Tarjeta de crédito,2025-04-21,6640.73,Web
147,244,1340,Tarjeta de crédito,2025-05-27,614.51,Presencial
148,245,1480,Tarjeta de crédito,2025-05-13,8181.41,App
149,246,856,Cuenta sueldo,2025-06-13,8899.54,Presencial
150,247,801,Tarjeta de crédito,2025-06-21,6877.01,App
151,249,227,Cuenta sueldo,2025-06-06,1844.1,Web
152,250,1468,Cuenta sueldo,2025-06-27,2518.01,Call center
153,251,1166,Cuenta sueldo,2025-05-12,3899.38,Call center
154,253,1011,Préstamo personal,2025-04-19,2518.42,Presencial
155,254,840,Tarjeta de crédito,2025-04-09,7827.78,Web
156,255,255,Cuenta sueldo,2025-06-08,2198.89,Presencial
157,257,800,Préstamo personal,2025-06-29,9365.04,Web
158,258,198,Cuenta sueldo,2025-05-23,1165.46,Web
159,262,123,Tarjeta de crédito,2025-05-05,5924.74,Web
