venta_id,oportunidad_id,cliente_id,producto_contratado,fecha_venta,monto_venta,canal_venta
244,403,1090,Cuenta sueldo,2025-04-30,2547.4,App
245,404,7,Cuenta sueldo,2025-06-02,2973.21,App
246,405,1396,Préstamo personal,2025-04-06,1934.9,Call center
247,407,1031,Cuenta sueldo,2025-04-26,2491.16,Web
248,409,1221,Tarjeta de crédito,2025-05-10,8614.04,Presencial
249,414,888,Cuenta sueldo,2025-06-29,6690.64,App
250,415,591,Préstamo personal,2025-05-27,3089.91,App
251,418,1404,Cuenta sueldo,2025-04-30,5511.01,Call center
252,419,497,Tarjeta de crédito,2025-06-15,3426.88,Web
253,420,805,Cuenta sueldo,2025-06-16,3040.87,Presencial
254,422,280,Préstamo personal,2025-05-19,9153.42,Web
255,424,250,Tarjeta de crédito,2025-06-06,987.55,Web
256,425,1396,Cuenta sueldo,2025-06-05,8204.9,Call center
257,427,594,Cuenta sueldo,2025-06-10,4811.96,App
258,429,325,Cuenta sueldo,2025-05-21,569.95,Presencial
259,431,827,Cuenta sueldo,2025-06-04,5529.22,Presencial
260,432,1254,Préstamo personal,2025-05-19,1056.04,App
261,433,394,Cuenta sueldo,2025-04-22,5063.91,Presencial
262,434,698,Cuenta sueldo,2025-06-19,8164.3,App
263,435,1267,Cuenta sueldo,2025-05-22,4152.42,Call center
264,436,1359,Cuenta sueldo,2025-05-27,10044.9,Web
265,437,467,Préstamo personal,2025-04-25,3058.73,Call center
266,440,158,Tarjeta de crédito,2025-04-13,1521.72,App
267,442,482,Cuenta sueldo,2025-05-04,874.09,App
268,443,123,Tarjeta de crédito,2025-05-28,9241.25,Web
269,444,422,Tarjeta de crédito,2025-04-14,899.7,Call center
270,446,889,Préstamo personal,2025-06-05,8990.59,Presencial
271,447,80,Cuenta sueldo,2025-05-23,6062.22,Presencial
272,451,378,Cuenta sueldo,2025-06-10,6966.55,App
273,453,603,Tarjeta de crédito,2025-04-20,9684.07,Presencial
274,454,1460,Tarjeta de crédito,2025-05-20,7695.2,App
275,455,968,Préstamo personal,2025-05-27,1020.08,Call center
276,456,1167,Tarjeta de crédito,2025-05-25,4772.75,Web
277,457,283,Préstamo personal,2025-06-16,6183.0,App
278,459,207,Tarjeta de crédito,2025-06-10,4592.78,Web
279,462,978,Tarjeta de crédito,2025-05-13,4824.73,Presencial
280,463,777,Cuenta sueldo,2025-05-25,6429.84,Web
281,464,874,Préstamo personal,2025-05-12,8152.76,Web
282,468,566,Préstamo personal,2025-05-01,5267.58,Web
