ID_Ticket,Fecha_Registro,Tipo_Solicitud,Cliente_ID,Agente_ID,Tiempo_1ra_Respuesta (min),Tiempo_Resolucion (hrs),Calificacion_Cliente,Satisfaccion (%),Es_Ticket_Formal (1/0)
TCK30100,2025-03-17,Incidencia,C193,AG05,7,11.86,4,71,0
TCK30101,2025-03-18,Requerimiento,C155,AG08,15,51.63,3,78,0
TCK30102,2025-03-10,Incidencia,C148,AG04,30,24.67,5,99,0
TCK30103,2025-03-15,Requerimiento,C101,AG03,224,34.59,5,80,0
TCK30104,2025-03-11,Requerimiento,C153,AG09,26,7.95,4,71,1
TCK30105,2025-03-08,Incidencia,C193,AG08,76,66.29,3,94,0
TCK30106,2025-03-04,Nueva Solicitud,C152,AG09,56,63.93,4,89,0
TCK30107,2025-03-13,Requerimiento,C170,AG03,56,16.32,3,82,1
TCK30108,2025-03-29,Incidencia,C109,AG04,121,37.09,3,86,0
TCK30109,2025-03-04,Incidencia,C167,AG09,223,24.92,2,99,0
TCK30110,2025-03-21,Requerimiento,C146,AG03,141,20.08,5,76,1
TCK30111,2025-03-23,Nueva Solicitud,C116,AG06,67,46.39,4,78,1
TCK30112,2025-03-17,Incidencia,C183,AG01,87,6.02,2,72,1
TCK30113,2025-03-20,Requerimiento,C176,AG04,165,49.77,4,89,1
TCK30114,2025-03-16,Requerimiento,C112,AG03,206,37.59,2,88,1
TCK30115,2025-03-25,Incidencia,C128,AG010,228,52.9,5,92,1
TCK30116,2025-03-29,Nueva Solicitud,C108,AG04,14,11.29,4,86,0
TCK30117,2025-03-27,Requerimiento,C133,AG08,23,42.04,4,76,0
TCK30118,2025-03-06,Incidencia,C168,AG05,65,28.9,1,85,0
TCK30119,2025-03-16,Requerimiento,C114,AG04,138,62.58,3,97,1
TCK30120,2025-03-26,Nueva Solicitud,C173,AG08,66,56.67,3,73,0
TCK30121,2025-03-28,Incidencia,C171,AG06,118,3.62,5,74,1
TCK30122,2025-03-07,Incidencia,C136,AG04,179,54.86,5,78,0
TCK30123,2025-03-26,Incidencia,C116,AG09,109,50.26,5,99,0
TCK30124,2025-03-01,Requerimiento,C132,AG06,216,40.86,3,86,0
TCK30125,2025-03-11,Incidencia,C124,AG06,97,29.55,3,94,1
TCK30126,2025-03-10,Nueva Solicitud,C177,AG05,143,18.39,2,70,0
TCK30127,2025-03-09,Requerimiento,C174,AG08,143,6.39,5,79,1
TCK30128,2025-03-29,Incidencia,C172,AG08,195,8.52,5,74,1
TCK30129,2025-03-26,Incidencia,C102,AG03,180,32.9,4,74,1
TCK30130,2025-03-09,Requerimiento,C148,AG05,143,25.22,4,89,1
TCK30131,2025-03-01,Requerimiento,C134,AG010,11,35.06,5,84,1
TCK30132,2025-03-11,Requerimiento,C189,AG07,164,4.65,4,84,1
TCK30133,2025-03-17,Incidencia,C117,AG010,88,1.71,3,91,1
TCK30134,2025-03-23,Nueva Solicitud,C169,AG01,144,41.14,5,75,1
TCK30135,2025-03-17,Incidencia,C127,AG08,176,70.15,5,71,0
TCK30136,2025-03-09,Incidencia,C141,AG01,63,61.28,5,75,1
TCK30137,2025-03-03,Incidencia,C160,AG07,178,5.43,3,91,0
TCK30138,2025-03-26,Incidencia,C158,AG02,23,48.03,5,100,1
TCK30139,2025-03-22,Incidencia,C199,AG08,113,42.2,5,100,0
TCK30140,2025-03-29,Nueva Solicitud,C121,AG010,162,45.14,5,97,0
TCK30141,2025-03-10,Incidencia,C167,AG08,140,42.98,4,98,1
TCK30142,2025-03-29,Incidencia,C101,AG010,72,23.06,4,92,1
TCK30143,2025-03-17,Requerimiento,C117,AG05,193,23.88,3,89,1
TCK30144,2025-03-03,Incidencia,C144,AG06,76,5.06,5,84,1
TCK30145,2025-03-17,Requerimiento,C193,AG09,39,28.01,3,80,1
TCK30146,2025-03-25,Nueva Solicitud,C137,AG08,201,22.01,3,81,0
TCK30147,2025-03-28,Incidencia,C101,AG09,99,37.1,5,85,0
TCK30148,2025-03-22,Incidencia,C168,AG06,121,38.9,3,81,1
TCK30149,2025-03-04,Requerimiento,C181,AG01,235,6.47,5,70,1
TCK30150,2025-03-13,Requerimiento,C197,AG09,153,11.2,5,83,1
TCK30151,2025-03-16,Requerimiento,C158,AG02,226,18.65,3,86,1
TCK30152,2025-03-08,Requerimiento,C160,AG03,79,25.96,3,75,1
TCK30153,2025-03-16,Incidencia,C133,AG07,179,12.13,5,94,1
TCK30154,2025-03-22,Incidencia,C110,AG08,239,24.81,3,87,0
TCK30155,2025-03-15,Nueva Solicitud,C189,AG09,107,30.51,3,89,0
TCK30156,2025-03-04,Requerimiento,C198,AG07,149,40.5,5,89,1
TCK30157,2025-03-02,Incidencia,C105,AG01,92,42.72,5,81,1
TCK30158,2025-03-23,Incidencia,C177,AG04,220,55.55,5,79,1
TCK30159,2025-03-14,Incidencia,C168,AG09,91,37.13,4,70,1
TCK30160,2025-03-11,Incidencia,C100,AG06,105,53.97,3,72,1
TCK30161,2025-03-29,Nueva Solicitud,C118,AG02,194,16.63,4,82,0
TCK30162,2025-03-09,Nueva Solicitud,C144,AG08,225,54.24,3,76,1
TCK30163,2025-03-19,Nueva Solicitud,C192,AG02,199,40.11,4,82,1
TCK30164,2025-03-04,Requerimiento,C149,AG01,152,36.53,3,70,1
TCK30165,2025-03-18,Nueva Solicitud,C107,AG07,153,67.85,5,76,0
TCK30166,2025-03-15,Requerimiento,C163,AG02,157,33.09,2,97,1
TCK30167,2025-03-18,Nueva Solicitud,C185,AG08,11,20.44,5,81,1
TCK30168,2025-03-11,Incidencia,C158,AG02,14,32.23,3,86,1
TCK30169,2025-03-10,Incidencia,C151,AG09,28,58.49,4,88,1
TCK30170,2025-03-16,Requerimiento,C117,AG04,90,31.28,4,97,0
TCK30171,2025-03-30,Nueva Solicitud,C153,AG07,13,58.27,5,100,1
TCK30172,2025-03-30,Nueva Solicitud,C183,AG04,125,23.28,5,92,1
TCK30173,2025-03-25,Requerimiento,C161,AG09,48,25.46,2,89,1
TCK30174,2025-03-17,Requerimiento,C172,AG04,153,18.58,5,89,0
TCK30175,2025-03-30,Incidencia,C194,AG01,205,8.11,5,70,0
TCK30176,2025-03-19,Incidencia,C147,AG09,33,46.39,4,90,0
TCK30177,2025-03-26,Incidencia,C199,AG01,29,31.01,4,94,1
TCK30178,2025-03-20,Incidencia,C175,AG02,120,64.13,3,85,1
TCK30179,2025-03-09,Incidencia,C190,AG07,188,63.39,4,79,1
TCK30180,2025-03-28,Requerimiento,C193,AG010,218,52.93,2,97,1
TCK30181,2025-03-30,Incidencia,C181,AG03,221,40.8,5,91,1
TCK30182,2025-03-29,Incidencia,C100,AG08,16,1.72,4,79,0
TCK30183,2025-03-25,Nueva Solicitud,C177,AG06,50,55.3,3,95,1
TCK30184,2025-03-10,Nueva Solicitud,C124,AG01,120,26.12,3,97,1
TCK30185,2025-03-28,Nueva Solicitud,C110,AG04,109,7.14,5,85,0
TCK30186,2025-03-17,Incidencia,C139,AG03,224,25.2,5,71,1
TCK30187,2025-03-20,Incidencia,C185,AG07,117,64.42,2,95,0
TCK30188,2025-03-27,Incidencia,C124,AG01,205,46.78,4,88,0
TCK30189,2025-03-09,Incidencia,C119,AG02,182,26.02,5,93,1
TCK30190,2025-03-04,Incidencia,C103,AG06,99,42.28,3,81,0
TCK30191,2025-03-17,Requerimiento,C186,AG09,216,23.38,3,93,1
TCK30192,2025-03-28,Nueva Solicitud,C122,AG05,12,7.3,4,82,0
TCK30193,2025-03-01,Requerimiento,C161,AG06,114,42.07,5,81,1
TCK30194,2025-03-28,Nueva Solicitud,C159,AG07,113,57.18,1,76,1
TCK30195,2025-03-16,Requerimiento,C112,AG04,153,11.0,5,88,0
TCK30196,2025-03-13,Nueva Solicitud,C117,AG01,230,51.82,3,88,1
TCK30197,2025-03-13,Incidencia,C179,AG05,160,3.23,5,96,0
TCK30198,2025-03-18,Incidencia,C112,AG05,103,22.26,3,88,1
TCK30199,2025-03-19,Requerimiento,C161,AG03,134,30.59,4,97,1
TCK30200,2025-03-23,Nueva Solicitud,C158,AG05,225,9.18,4,70,1
TCK30201,2025-03-09,Incidencia,C152,AG04,7,58.54,5,96,1
TCK30202,2025-03-21,Incidencia,C179,AG04,101,57.53,3,96,1
TCK30203,2025-03-20,Incidencia,C151,AG04,88,34.43,3,88,1
TCK30204,2025-03-08,Incidencia,C148,AG03,174,20.98,4,81,1
TCK30205,2025-03-27,Nueva Solicitud,C199,AG07,136,18.17,3,79,0
TCK30206,2025-03-04,Requerimiento,C126,AG07,76,6.45,4,80,0
TCK30207,2025-03-24,Requerimiento,C177,AG01,161,68.58,5,80,1
TCK30208,2025-03-10,Incidencia,C187,AG07,6,20.11,4,75,1
TCK30209,2025-03-25,Nueva Solicitud,C137,AG06,154,14.51,5,80,1
TCK30210,2025-03-19,Incidencia,C189,AG07,139,18.3,4,72,1
TCK30211,2025-03-27,Incidencia,C132,AG06,165,4.58,2,99,1
TCK30212,2025-03-13,Incidencia,C190,AG01,218,60.48,5,70,1
TCK30213,2025-03-05,Incidencia,C172,AG07,155,9.69,5,81,0
TCK30214,2025-03-10,Incidencia,C112,AG04,223,47.56,1,96,1
TCK30215,2025-03-10,Incidencia,C102,AG010,195,17.15,4,88,1
TCK30216,2025-03-02,Requerimiento,C149,AG09,172,29.71,4,99,1
TCK30217,2025-03-25,Incidencia,C178,AG06,227,48.73,5,84,1
TCK30218,2025-03-27,Requerimiento,C147,AG05,54,18.93,3,86,1
TCK30219,2025-03-23,Incidencia,C177,AG010,193,29.42,4,90,1
TCK30220,2025-03-22,Requerimiento,C193,AG06,41,29.23,4,91,1
TCK30221,2025-03-04,Requerimiento,C113,AG08,64,10.61,5,74,1
TCK30222,2025-03-01,Incidencia,C156,AG07,110,52.09,4,100,1
TCK30223,2025-03-01,Requerimiento,C199,AG01,65,62.16,1,81,1
TCK30224,2025-03-14,Nueva Solicitud,C130,AG07,206,54.49,3,90,1
TCK30225,2025-03-14,Requerimiento,C173,AG010,68,70.82,2,81,0
TCK30226,2025-03-05,Nueva Solicitud,C153,AG010,200,48.78,3,77,1
TCK30227,2025-03-03,Incidencia,C166,AG02,132,14.91,1,96,1
TCK30228,2025-03-07,Incidencia,C106,AG04,144,30.27,4,82,0
TCK30229,2025-03-09,Incidencia,C132,AG02,79,62.3,3,81,1
TCK30230,2025-03-05,Incidencia,C170,AG04,227,71.49,5,82,0
TCK30231,2025-03-09,Incidencia,C186,AG02,135,66.05,5,72,1
TCK30232,2025-03-26,Nueva Solicitud,C164,AG01,45,18.49,1,88,1
TCK30233,2025-03-18,Incidencia,C173,AG08,166,35.87,3,87,1
TCK30234,2025-03-02,Nueva Solicitud,C110,AG03,205,54.74,4,77,0
TCK30235,2025-03-26,Nueva Solicitud,C151,AG05,216,11.5,4,84,1
TCK30236,2025-03-12,Nueva Solicitud,C189,AG01,207,53.64,4,98,1
TCK30237,2025-03-22,Nueva Solicitud,C192,AG09,15,42.47,1,84,1
TCK30238,2025-03-15,Nueva Solicitud,C176,AG04,216,60.71,1,74,0
TCK30239,2025-03-08,Requerimiento,C110,AG02,55,18.91,3,97,1
TCK30240,2025-03-08,Nueva Solicitud,C136,AG02,153,12.09,4,98,1
TCK30241,2025-03-29,Requerimiento,C175,AG01,91,45.92,5,77,1
TCK30242,2025-03-13,Requerimiento,C184,AG010,162,29.27,4,75,1
TCK30243,2025-03-09,Incidencia,C140,AG09,110,2.72,4,82,1
TCK30244,2025-03-24,Incidencia,C117,AG04,200,71.02,2,85,1
TCK30245,2025-03-13,Incidencia,C117,AG05,90,58.16,3,97,0
TCK30246,2025-03-18,Incidencia,C140,AG03,52,42.52,1,98,1
TCK30247,2025-03-03,Incidencia,C169,AG02,46,36.51,4,94,1
TCK30248,2025-03-26,Incidencia,C150,AG010,53,1.35,3,78,0
TCK30249,2025-03-03,Incidencia,C172,AG01,72,37.98,5,85,0
TCK30250,2025-03-08,Nueva Solicitud,C170,AG05,50,46.66,2,86,0
TCK30251,2025-03-10,Incidencia,C189,AG08,35,67.94,5,79,1
TCK30252,2025-03-13,Incidencia,C162,AG08,148,63.53,4,79,0
TCK30253,2025-03-11,Requerimiento,C138,AG01,183,6.54,3,100,1
TCK30254,2025-03-03,Requerimiento,C161,AG09,13,1.15,5,100,0
TCK30255,2025-03-09,Nueva Solicitud,C103,AG06,50,66.53,4,78,1
TCK30256,2025-03-11,Requerimiento,C188,AG07,238,69.09,5,91,0
TCK30257,2025-03-01,Incidencia,C122,AG05,92,26.9,4,93,1
TCK30258,2025-03-20,Incidencia,C123,AG010,135,53.04,3,75,1
TCK30259,2025-03-27,Nueva Solicitud,C105,AG01,189,7.91,3,74,0
TCK30260,2025-03-17,Nueva Solicitud,C130,AG08,30,69.47,4,98,1
TCK30261,2025-03-04,Incidencia,C161,AG05,23,68.64,4,86,1
TCK30262,2025-03-16,Requerimiento,C176,AG04,164,13.58,5,70,0
TCK30263,2025-03-11,Requerimiento,C104,AG05,24,65.27,5,92,1
TCK30264,2025-03-07,Incidencia,C132,AG07,91,62.9,3,93,1
TCK30265,2025-03-08,Incidencia,C177,AG02,137,42.74,2,73,1
TCK30266,2025-03-08,Incidencia,C184,AG03,197,54.99,4,83,0
TCK30267,2025-03-19,Incidencia,C139,AG09,146,49.74,5,92,1
TCK30268,2025-03-01,Requerimiento,C118,AG09,133,54.14,3,74,1
TCK30269,2025-03-02,Nueva Solicitud,C155,AG03,6,53.5,3,90,0
TCK30270,2025-03-02,Incidencia,C148,AG02,144,11.12,3,81,0
TCK30271,2025-03-07,Requerimiento,C194,AG010,114,68.08,3,93,0
TCK30272,2025-03-17,Incidencia,C128,AG08,26,67.77,5,94,1
TCK30273,2025-03-27,Incidencia,C184,AG06,128,37.96,4,74,1
TCK30274,2025-03-28,Nueva Solicitud,C187,AG06,233,55.92,3,76,0
TCK30275,2025-03-12,Incidencia,C155,AG06,63,54.42,5,77,1
TCK30276,2025-03-21,Incidencia,C159,AG010,135,13.27,5,83,1
TCK30277,2025-03-17,Incidencia,C144,AG010,145,1.05,5,81,1
TCK30278,2025-03-12,Nueva Solicitud,C182,AG01,216,26.63,1,82,0
TCK30279,2025-03-22,Incidencia,C160,AG02,76,4.0,4,97,1
TCK30280,2025-03-02,Incidencia,C154,AG04,102,29.12,3,100,1
TCK30281,2025-03-21,Incidencia,C183,AG06,170,40.56,5,92,1
TCK30282,2025-03-07,Incidencia,C193,AG06,180,35.02,5,80,0
TCK30283,2025-03-23,Nueva Solicitud,C112,AG08,58,70.01,5,80,0
TCK30284,2025-03-23,Requerimiento,C158,AG05,90,12.11,5,83,0
TCK30285,2025-03-10,Incidencia,C172,AG01,12,30.28,3,99,0
TCK30286,2025-03-24,Requerimiento,C168,AG03,83,13.13,1,83,1
TCK30287,2025-03-03,Requerimiento,C191,AG08,177,68.48,5,71,0
TCK30288,2025-03-25,Nueva Solicitud,C128,AG05,91,36.46,4,98,1
TCK30289,2025-03-16,Incidencia,C134,AG02,211,69.16,3,81,1
TCK30290,2025-03-25,Requerimiento,C195,AG04,144,39.67,5,83,0
TCK30291,2025-03-22,Nueva Solicitud,C154,AG010,32,16.51,5,94,1
TCK30292,2025-03-26,Incidencia,C134,AG08,217,26.25,5,92,1
TCK30293,2025-03-03,Nueva Solicitud,C198,AG09,108,54.97,2,82,1
TCK30294,2025-03-04,Incidencia,C194,AG01,92,52.9,5,100,1
TCK30295,2025-03-29,Incidencia,C188,AG03,212,32.93,5,80,1
TCK30296,2025-03-02,Requerimiento,C111,AG04,75,9.78,2,76,1
TCK30297,2025-03-23,Incidencia,C143,AG04,129,2.67,3,85,1
TCK30298,2025-03-20,Incidencia,C126,AG02,122,31.75,5,83,1
TCK30299,2025-03-01,Nueva Solicitud,C160,AG02,194,57.94,5,92,0
TCK30300,2025-03-27,Requerimiento,C197,AG07,34,4.18,3,86,1
TCK30301,2025-03-20,Incidencia,C195,AG03,123,7.24,2,78,0
TCK30302,2025-03-16,Requerimiento,C127,AG09,75,7.1,5,75,0
TCK30303,2025-03-15,Requerimiento,C165,AG02,175,23.87,5,81,1
TCK30304,2025-03-29,Nueva Solicitud,C101,AG04,141,3.55,3,82,1
TCK30305,2025-03-27,Nueva Solicitud,C140,AG02,83,16.99,5,96,1
TCK30306,2025-03-06,Incidencia,C184,AG09,89,36.62,3,75,0
TCK30307,2025-03-30,Incidencia,C183,AG05,98,55.53,2,72,1
TCK30308,2025-03-26,Requerimiento,C117,AG06,107,40.43,5,99,1
TCK30309,2025-03-12,Incidencia,C190,AG03,207,41.42,3,79,0
TCK30310,2025-03-09,Incidencia,C195,AG05,161,62.25,4,88,1
TCK30311,2025-03-20,Requerimiento,C163,AG07,178,43.76,1,70,0
TCK30312,2025-03-16,Incidencia,C160,AG03,13,46.36,4,85,1
TCK30313,2025-03-08,Nueva Solicitud,C177,AG09,32,62.76,5,87,0
TCK30314,2025-03-08,Incidencia,C140,AG03,36,36.45,4,90,1
TCK30315,2025-03-29,Requerimiento,C144,AG04,215,52.19,1,71,1
TCK30316,2025-03-29,Incidencia,C133,AG06,162,26.82,4,73,1
TCK30317,2025-03-21,Incidencia,C136,AG04,35,4.83,4,81,0
TCK30318,2025-03-14,Nueva Solicitud,C142,AG07,222,52.09,5,100,1
TCK30319,2025-03-25,Nueva Solicitud,C110,AG05,238,4.48,5,78,1
TCK30320,2025-03-27,Requerimiento,C110,AG01,23,53.91,4,79,1
TCK30321,2025-03-21,Requerimiento,C171,AG07,85,60.91,5,70,0
TCK30322,2025-03-09,Incidencia,C145,AG010,156,61.58,5,92,1
TCK30323,2025-03-27,Incidencia,C164,AG02,65,38.2,3,99,1
TCK30324,2025-03-17,Incidencia,C180,AG06,142,14.24,5,76,0
TCK30325,2025-03-29,Incidencia,C104,AG04,195,40.54,5,84,1
TCK30326,2025-03-02,Nueva Solicitud,C140,AG04,191,70.4,4,92,1
TCK30327,2025-03-23,Requerimiento,C155,AG08,33,62.99,5,76,1
TCK30328,2025-03-24,Requerimiento,C178,AG03,23,68.61,4,90,1
TCK30329,2025-03-05,Incidencia,C193,AG01,198,51.13,4,92,0
TCK30330,2025-03-17,Incidencia,C163,AG08,51,43.16,4,77,1
TCK30331,2025-03-03,Requerimiento,C105,AG04,99,59.26,5,75,1
TCK30332,2025-03-12,Incidencia,C170,AG02,170,59.93,2,76,1
TCK30333,2025-03-13,Requerimiento,C167,AG06,17,48.57,5,94,1
TCK30334,2025-03-15,Requerimiento,C181,AG01,9,65.76,4,74,1
TCK30335,2025-03-10,Incidencia,C126,AG04,234,12.33,2,78,1
TCK30336,2025-03-19,Incidencia,C122,AG02,81,16.44,5,94,1
TCK30337,2025-03-16,Incidencia,C118,AG01,179,16.44,3,84,1
TCK30338,2025-03-30,Incidencia,C162,AG09,65,29.73,3,89,1
TCK30339,2025-03-21,Incidencia,C184,AG05,124,12.25,3,94,1
TCK30340,2025-03-28,Nueva Solicitud,C165,AG08,25,11.98,5,88,1
TCK30341,2025-03-23,Incidencia,C171,AG07,17,35.83,5,79,0
TCK30342,2025-03-17,Incidencia,C142,AG08,130,12.79,5,72,0
TCK30343,2025-03-15,Requerimiento,C188,AG09,65,6.44,5,98,0
TCK30344,2025-03-10,Requerimiento,C156,AG06,52,12.15,4,99,1
TCK30345,2025-03-24,Nueva Solicitud,C187,AG03,27,17.95,5,89,1
TCK30346,2025-03-08,Requerimiento,C191,AG08,71,16.97,5,76,1
TCK30347,2025-03-28,Incidencia,C124,AG04,231,27.16,5,90,1
TCK30348,2025-03-11,Incidencia,C187,AG04,19,21.91,5,87,1
TCK30349,2025-03-24,Incidencia,C159,AG02,102,2.44,3,85,1
TCK30350,2025-03-07,Incidencia,C149,AG010,140,46.5,5,75,1
TCK30351,2025-03-20,Requerimiento,C142,AG09,88,31.61,5,95,0
TCK30352,2025-03-23,Incidencia,C194,AG06,10,13.56,5,87,0
